name,edm_cluster_7,edm_cluster_6,edm_cluster_5,edm_cluster_4,edm_cluster_3,edm_cluster_2,edm_cluster_1,edm_cluster_0,edm_cluster_9,edm_cluster_8
disclosure,0.904107,0.0,0.0,0.000644,0.0,0.0,0.0,0.0,0.0,0.0
avicii,0.000584,0.0,0.887351,0.002842,0.0,0.0,0.0,0.0,0.000147,0.0
music,0.02524,0.000191,0.046421,0.013812,0.033521,0.014995,0.152378,0.079281,0.033482,0.456432
hardwell,0.0,0.0,0.005101,0.001296,0.814874,0.003866,0.0,0.0,0.0,0.0
edm,0.007407,0.0,0.017172,0.004362,0.034526,0.051245,0.574534,0.076959,0.006993,0.020034
dubstep,0.000168,0.0,0.001306,0.000152,0.000158,0.00209,0.0,0.769575,0.009044,0.0
nowplaying,0.0285,0.043059,0.153244,0.196899,0.073619,0.001554,0.121875,0.030613,0.043156,0.020426
remix,0.026967,0.007458,0.040031,0.158315,0.057204,0.00289,0.044908,0.141523,0.016195,0.004879
love,0.013977,0.012955,0.032303,0.251763,0.021343,0.015606,0.039769,0.037373,0.029411,0.032677
house,0.012924,0.0,0.007549,0.001922,0.007109,0.007209,0.032932,0.030659,0.010091,0.329351
trance,0.0,0.337987,0.000514,0.002753,0.001967,0.004701,0.029726,0.018852,0.001455,0.039682
https,0.023393,0.029162,0.022941,0.036653,0.029227,0.022312,0.06894,0.071379,0.032206,0.041819
calvin,0.0,0.0,0.000163,0.349431,0.00023,0.000149,0.0,0.0,0.000183,0.0
housemusic,0.001818,0.034862,0.005982,0.082998,0.007166,0.012578,0.078693,0.02759,0.010646,0.085828
harris,0.000211,0.0,0.0,0.345658,0.0,0.0,0.000555,0.0,0.000424,0.000429
video,0.022495,0.002606,0.051604,0.01779,0.015339,0.00838,0.015676,0.104131,0.037058,0.016688
feat,0.020547,0.002366,0.021187,0.154087,0.040171,0.000566,0.016166,0.010505,0.018278,0.004906
youtube,0.013984,0.005384,0.036717,0.022743,0.015582,0.007163,0.008884,0.122454,0.030195,0.012041
free,0.019187,0.006314,0.012021,0.011541,0.023511,0.011808,0.117264,0.025693,0.018372,0.015419
tonight,0.01444,0.024527,0.015482,0.024012,0.047021,0.020872,0.027441,0.008616,0.058324,0.016044
ultra,0.000114,0.083477,0.013033,0.007814,0.086445,0.020644,0.007826,0.005223,0.000188,0.022755
vegas,0.00148,0.00033,0.017277,0.013544,0.014735,0.167928,0.020784,0.001775,0.000759,0.003904
listen,0.011227,0.014114,0.056721,0.055883,0.025177,0.004964,0.023616,0.022455,0.010258,0.017368
live,0.01151,0.020973,0.018787,0.016914,0.047711,0.023454,0.033041,0.02093,0.017964,0.027593
here,0.017887,0.025532,0.020934,0.012319,0.026254,0.034325,0.028913,0.023703,0.01889,0.027571
night,0.011095,0.031531,0.019587,0.016565,0.028063,0.021678,0.031584,0.011929,0.015671,0.02729
more,0.041304,0.019232,0.01842,0.01678,0.016157,0.025414,0.015811,0.016058,0.017257,0.022832
check,0.00864,0.012277,0.013491,0.00725,0.02736,0.016874,0.039052,0.034802,0.022434,0.022462
2014,0.014584,0.018613,0.013883,0.014581,0.020883,0.057562,0.015171,0.010228,0.014121,0.023353
radio,0.005547,0.007732,0.061488,0.020597,0.015999,0.001451,0.030086,0.011254,0.01086,0.030562
edc,0.0,0.0,0.003019,0.000411,0.0,0.189463,0.0,0.0,0.0,0.0
shoutdrive,0.007755,0.019802,0.018045,0.091749,0.042411,7.4e-05,0.00239,0.000634,0.00481,0.0
time,0.014632,0.020522,0.018232,0.009387,0.017364,0.034628,0.018027,0.013636,0.022145,0.018503
song,0.012219,0.005055,0.068554,0.021295,0.005717,0.002039,0.018337,0.038426,0.010332,0.003504
calvinharris,0.000806,0.063369,0.006718,0.075756,0.007813,0.015915,0.003898,0.00415,0.0,0.005524
soundcloud,0.009398,0.010428,0.007166,0.026738,0.010527,0.007917,0.021617,0.04731,0.022218,0.017301
full,0.122895,0.005287,0.007296,0.005149,0.012366,0.004873,0.003765,0.005168,0.00559,0.006381
playing,0.00737,0.024377,0.022778,0.038012,0.026986,0.008151,0.007053,0.012172,0.01833,0.012588
going,0.010006,0.0196,0.011295,0.00902,0.020164,0.042568,0.010705,0.011261,0.014446,0.02342
summer,0.002882,0.0,0.003387,0.131612,0.002213,0.005513,0.004852,0.002085,0.002722,0.013198
bassnectar,0.0,0.090259,0.002955,0.043098,0.00056,0.005232,0.002346,0.015565,7.9e-05,0.006248
beyond,0.020523,0.013387,0.005223,0.019534,0.014391,0.024511,0.004917,0.014297,0.013876,0.031882
good,0.01897,0.016326,0.016127,0.009896,0.011877,0.018136,0.014619,0.015006,0.023794,0.017187
2013,0.009921,0.01414,0.02903,0.023888,0.02657,0.016474,0.011002,0.013717,0.007527,0.009305
show,0.012918,0.019019,0.02104,0.007519,0.017751,0.009094,0.021277,0.009514,0.026385,0.015904
above,0.020198,0.01288,0.004978,0.019283,0.013328,0.023626,0.003671,0.014007,0.013802,0.031619
arminvanbuuren,0.000463,0.047333,0.004938,0.026453,0.024991,0.01112,0.003146,0.006659,0.003014,0.026758
dance,0.005668,0.01033,0.014568,0.007402,0.004711,0.006935,0.059785,0.023953,0.004574,0.016676
festival,0.001847,0.001766,0.005582,0.019373,0.013069,0.015572,0.012771,0.003232,0.002397,0.075434
alesso,0.000156,0.023122,0.002423,0.095772,0.012494,0.006398,0.002341,0.002848,0.0,0.002499
wake,0.00077,0.001125,0.13977,0.000635,0.000618,0.000703,0.000988,0.001026,0.001094,0.000972
right,0.011113,0.017463,0.016225,0.018058,0.022319,0.013607,0.011542,0.010276,0.011808,0.012056
today,0.012839,0.010829,0.011899,0.005793,0.011547,0.019022,0.012556,0.007962,0.033069,0.017305
know,0.0153,0.012712,0.012903,0.00843,0.009939,0.016811,0.024572,0.01197,0.014436,0.015242
life,0.005577,0.025401,0.009769,0.023243,0.006104,0.018022,0.017067,0.015363,0.006961,0.013944
djafrojack,0.0,0.045702,0.0079,0.024862,0.01159,0.012408,0.003535,0.006511,0.001785,0.026954
party,0.008333,0.01174,0.009981,0.007143,0.011345,0.023769,0.034666,0.008785,0.007013,0.017076
last,0.011744,0.015258,0.011516,0.009744,0.020768,0.029247,0.013212,0.006801,0.011222,0.009782
tickets,0.007232,0.015876,0.012821,0.003951,0.017924,0.063834,0.006949,0.002713,0.004125,0.003726
best,0.010138,0.013968,0.010977,0.008216,0.014765,0.016069,0.014607,0.019607,0.010908,0.018255
armin,0.0,0.043973,0.005378,0.053934,0.008388,0.00213,0.00223,0.013825,0.000403,0.004203
down,0.006486,0.009982,0.054028,0.004783,0.008215,0.009894,0.009734,0.009966,0.011829,0.009161
year,0.008568,0.003615,0.006611,0.007509,0.01057,0.074145,0.006206,0.004271,0.006454,0.005109
back,0.007521,0.020117,0.008414,0.015341,0.013156,0.019199,0.010764,0.007327,0.01519,0.014525
listening,0.00592,0.017346,0.021448,0.021894,0.013155,0.006306,0.006758,0.024439,0.006841,0.007442
need,0.013267,0.009926,0.009622,0.034973,0.006506,0.013744,0.009482,0.00863,0.013635,0.010588
make,0.009386,0.012434,0.031152,0.006678,0.006607,0.014629,0.010122,0.014608,0.010793,0.013216
club,0.00296,0.022086,0.011402,0.013016,0.004697,0.006095,0.021727,0.022293,0.012567,0.008048
album,0.00882,0.006768,0.044528,0.004765,0.002054,0.001262,0.012989,0.007409,0.006145,0.028832
